ID,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked
50,0.0,3.0,male,7.0,4.0,1.0,39.6875,,S
51,0.0,3.0,male,21.0,0.0,0.0,7.8,,S
52,1.0,1.0,female,49.0,1.0,0.0,76.7292,D33,C
53,1.0,2.0,female,29.0,1.0,0.0,26.0,,S
54,0.0,1.0,male,65.0,0.0,1.0,61.9792,B30,C
55,1.0,1.0,male,,0.0,0.0,35.5,C52,S
56,1.0,2.0,female,21.0,0.0,0.0,10.5,,S
57,0.0,3.0,male,28.5,0.0,0.0,7.2292,,C
58,1.0,2.0,female,5.0,1.0,2.0,27.75,,S
59,0.0,3.0,male,11.0,5.0,2.0,46.9,,S
60,0.0,3.0,male,22.0,0.0,0.0,7.2292,,C
61,1.0,1.0,female,38.0,0.0,0.0,80.0,B28,
62,0.0,1.0,male,45.0,1.0,0.0,83.475,C83,S
63,0.0,3.0,male,4.0,3.0,2.0,27.9,,S
64,0.0,1.0,male,,0.0,0.0,27.7208,,C
65,1.0,3.0,male,,1.0,1.0,15.2458,,C
66,1.0,2.0,female,29.0,0.0,0.0,10.5,F33,S
67,0.0,3.0,male,19.0,0.0,0.0,8.1583,,S
68,1.0,3.0,female,17.0,4.0,2.0,7.925,,S
69,0.0,3.0,male,26.0,2.0,0.0,8.6625,,S
70,0.0,2.0,male,32.0,0.0,0.0,10.5,,S
71,0.0,3.0,female,16.0,5.0,2.0,46.9,,S
72,0.0,2.0,male,21.0,0.0,0.0,73.5,,S
73,0.0,3.0,male,26.0,1.0,0.0,14.4542,,C
74,1.0,3.0,male,32.0,0.0,0.0,56.4958,,S
75,0.0,3.0,male,25.0,0.0,0.0,7.65,F G73,S
76,0.0,3.0,male,,0.0,0.0,7.8958,,S
77,0.0,3.0,male,,0.0,0.0,8.05,,S
78,1.0,2.0,male,0.83,0.0,2.0,29.0,,S
79,1.0,3.0,female,30.0,0.0,0.0,12.475,,S
80,0.0,3.0,male,22.0,0.0,0.0,9.0,,S
81,1.0,3.0,male,29.0,0.0,0.0,9.5,,S
82,1.0,3.0,female,,0.0,0.0,7.7875,,Q
83,0.0,1.0,male,28.0,0.0,0.0,47.1,,S
84,1.0,2.0,female,17.0,0.0,0.0,10.5,,S
85,1.0,3.0,female,33.0,3.0,0.0,15.85,,S
86,0.0,3.0,male,16.0,1.0,3.0,34.375,,S
87,0.0,3.0,male,,0.0,0.0,8.05,,S
88,1.0,1.0,female,23.0,3.0,2.0,263.0,C23 C25 C27,S
89,0.0,3.0,male,24.0,0.0,0.0,8.05,,S
90,0.0,3.0,male,29.0,0.0,0.0,8.05,,S
91,0.0,3.0,male,20.0,0.0,0.0,7.8542,,S
92,0.0,1.0,male,46.0,1.0,0.0,61.175,E31,S
93,0.0,3.0,male,26.0,1.0,2.0,20.575,,S
94,0.0,3.0,male,59.0,0.0,0.0,7.25,,S
95,0.0,3.0,male,,0.0,0.0,8.05,,S
96,0.0,1.0,male,71.0,0.0,0.0,34.6542,A5,C
97,1.0,1.0,male,23.0,0.0,1.0,63.3583,D10 D12,C
98,1.0,2.0,female,34.0,0.0,1.0,23.0,,S
99,0.0,2.0,male,34.0,1.0,0.0,26.0,,S
100,0.0,3.0,female,28.0,0.0,0.0,7.8958,,S
101,0.0,3.0,male,,0.0,0.0,7.8958,,S
102,0.0,1.0,male,21.0,0.0,1.0,77.2875,D26,S
103,0.0,3.0,male,33.0,0.0,0.0,8.6542,,S
104,0.0,3.0,male,37.0,2.0,0.0,7.925,,S
105,0.0,3.0,male,28.0,0.0,0.0,7.8958,,S
106,1.0,3.0,female,21.0,0.0,0.0,7.65,,S
107,1.0,3.0,male,,0.0,0.0,7.775,,S
108,0.0,3.0,male,38.0,0.0,0.0,7.8958,,S
109,1.0,3.0,female,,1.0,0.0,24.15,,Q
110,0.0,1.0,male,47.0,0.0,0.0,52.0,C110,S
111,0.0,3.0,female,14.5,1.0,0.0,14.4542,,C
112,0.0,3.0,male,22.0,0.0,0.0,8.05,,S
113,0.0,3.0,female,20.0,1.0,0.0,9.825,,S
114,0.0,3.0,female,17.0,0.0,0.0,14.4583,,C
115,0.0,3.0,male,21.0,0.0,0.0,7.925,,S
116,0.0,3.0,male,70.5,0.0,0.0,7.75,,Q
117,0.0,2.0,male,29.0,1.0,0.0,21.0,,S
118,0.0,1.0,male,24.0,0.0,1.0,247.5208,B58 B60,C
119,0.0,3.0,female,2.0,4.0,2.0,31.275,,S
120,0.0,2.0,male,21.0,2.0,0.0,73.5,,S
121,0.0,3.0,male,,0.0,0.0,8.05,,S
122,0.0,2.0,male,32.5,1.0,0.0,30.0708,,C
123,1.0,2.0,female,32.5,0.0,0.0,13.0,E101,S
124,0.0,1.0,male,54.0,0.0,1.0,77.2875,D26,S
125,1.0,3.0,male,12.0,1.0,0.0,11.2417,,C
126,0.0,3.0,male,,0.0,0.0,7.75,,Q
127,1.0,3.0,male,24.0,0.0,0.0,7.1417,,S
128,1.0,3.0,female,,1.0,1.0,22.3583,F E69,C
129,0.0,3.0,male,45.0,0.0,0.0,6.975,,S
130,0.0,3.0,male,33.0,0.0,0.0,7.8958,,C
131,0.0,3.0,male,20.0,0.0,0.0,7.05,,S
132,0.0,3.0,female,47.0,1.0,0.0,14.5,,S
133,1.0,2.0,female,29.0,1.0,0.0,26.0,,S
134,0.0,2.0,male,25.0,0.0,0.0,13.0,,S
135,0.0,2.0,male,23.0,0.0,0.0,15.0458,,C
136,1.0,1.0,female,19.0,0.0,2.0,26.2833,D47,S
137,0.0,1.0,male,37.0,1.0,0.0,53.1,C123,S
138,0.0,3.0,male,16.0,0.0,0.0,9.2167,,S
139,0.0,1.0,male,24.0,0.0,0.0,79.2,B86,C
140,0.0,3.0,female,,0.0,2.0,15.2458,,C
141,1.0,3.0,female,22.0,0.0,0.0,7.75,,S
142,1.0,3.0,female,24.0,1.0,0.0,15.85,,S
143,0.0,3.0,male,19.0,0.0,0.0,6.75,,Q
144,0.0,2.0,male,18.0,0.0,0.0,11.5,,S
145,0.0,2.0,male,19.0,1.0,1.0,36.75,,S
146,1.0,3.0,male,27.0,0.0,0.0,7.7958,,S
147,0.0,3.0,female,9.0,2.0,2.0,34.375,,S
148,0.0,2.0,male,36.5,0.0,2.0,26.0,F2,S
149,0.0,2.0,male,42.0,0.0,0.0,13.0,,S
150,0.0,2.0,male,51.0,0.0,0.0,12.525,,S
151,1.0,1.0,female,22.0,1.0,0.0,66.6,C2,S
152,0.0,3.0,male,55.5,0.0,0.0,8.05,,S
153,0.0,3.0,male,40.5,0.0,2.0,14.5,,S
154,0.0,3.0,male,,0.0,0.0,7.3125,,S
155,0.0,1.0,male,51.0,0.0,1.0,61.3792,,C
156,1.0,3.0,female,16.0,0.0,0.0,7.7333,,Q
157,0.0,3.0,male,30.0,0.0,0.0,8.05,,S
158,0.0,3.0,male,,0.0,0.0,8.6625,,S
159,0.0,3.0,male,,8.0,2.0,69.55,,S
160,0.0,3.0,male,44.0,0.0,1.0,16.1,,S
161,1.0,2.0,female,40.0,0.0,0.0,15.75,,S
162,0.0,3.0,male,26.0,0.0,0.0,7.775,,S
163,0.0,3.0,male,17.0,0.0,0.0,8.6625,,S
164,0.0,3.0,male,1.0,4.0,1.0,39.6875,,S
165,1.0,3.0,male,9.0,0.0,2.0,20.525,,S
166,1.0,1.0,female,,0.0,1.0,55.0,E33,S
167,0.0,3.0,female,45.0,1.0,4.0,27.9,,S
168,0.0,1.0,male,,0.0,0.0,25.925,,S
169,0.0,3.0,male,28.0,0.0,0.0,56.4958,,S
170,0.0,1.0,male,61.0,0.0,0.0,33.5,B19,S
171,0.0,3.0,male,4.0,4.0,1.0,29.125,,Q
172,1.0,3.0,female,1.0,1.0,1.0,11.1333,,S
173,0.0,3.0,male,21.0,0.0,0.0,7.925,,S
174,0.0,1.0,male,56.0,0.0,0.0,30.6958,A7,C
175,0.0,3.0,male,18.0,1.0,1.0,7.8542,,S
176,0.0,3.0,male,,3.0,1.0,25.4667,,S
177,0.0,1.0,female,50.0,0.0,0.0,28.7125,C49,C
178,0.0,2.0,male,30.0,0.0,0.0,13.0,,S
179,0.0,3.0,male,36.0,0.0,0.0,0.0,,S
180,0.0,3.0,female,,8.0,2.0,69.55,,S
181,0.0,2.0,male,,0.0,0.0,15.05,,C
182,0.0,3.0,male,9.0,4.0,2.0,31.3875,,S
183,1.0,2.0,male,1.0,2.0,1.0,39.0,F4,S
184,1.0,3.0,female,4.0,0.0,2.0,22.025,,S
185,0.0,1.0,male,,0.0,0.0,50.0,A32,S
186,1.0,3.0,female,,1.0,0.0,15.5,,Q
187,1.0,1.0,male,45.0,0.0,0.0,26.55,,S
188,0.0,3.0,male,40.0,1.0,1.0,15.5,,Q
189,0.0,3.0,male,36.0,0.0,0.0,7.8958,,S
190,1.0,2.0,female,32.0,0.0,0.0,13.0,,S
191,0.0,2.0,male,19.0,0.0,0.0,13.0,,S
192,1.0,3.0,female,19.0,1.0,0.0,7.8542,,S
193,1.0,2.0,male,3.0,1.0,1.0,26.0,F2,S
194,1.0,1.0,female,44.0,0.0,0.0,27.7208,B4,C
195,1.0,1.0,female,58.0,0.0,0.0,146.5208,B80,C
196,0.0,3.0,male,,0.0,0.0,7.75,,Q
197,0.0,3.0,male,42.0,0.0,1.0,8.4042,,S
198,1.0,3.0,female,,0.0,0.0,7.75,,Q
199,0.0,2.0,female,24.0,0.0,0.0,13.0,,S
200,0.0,3.0,male,28.0,0.0,0.0,9.5,,S
201,0.0,3.0,male,,8.0,2.0,69.55,,S
202,0.0,3.0,male,34.0,0.0,0.0,6.4958,,S
203,0.0,3.0,male,45.5,0.0,0.0,7.225,,C
204,1.0,3.0,male,18.0,0.0,0.0,8.05,,S
205,0.0,3.0,female,2.0,0.0,1.0,10.4625,G6,S
206,0.0,3.0,male,32.0,1.0,0.0,15.85,,S
207,1.0,3.0,male,26.0,0.0,0.0,18.7875,,C
208,1.0,3.0,female,16.0,0.0,0.0,7.75,,Q
209,1.0,1.0,male,40.0,0.0,0.0,31.0,A31,C
210,0.0,3.0,male,24.0,0.0,0.0,7.05,,S
211,1.0,2.0,female,35.0,0.0,0.0,21.0,,S
212,0.0,3.0,male,22.0,0.0,0.0,7.25,,S
213,0.0,2.0,male,30.0,0.0,0.0,13.0,,S
214,0.0,3.0,male,,1.0,0.0,7.75,,Q
215,1.0,1.0,female,31.0,1.0,0.0,113.275,D36,C
216,1.0,3.0,female,27.0,0.0,0.0,7.925,,S
217,0.0,2.0,male,42.0,1.0,0.0,27.0,,S
218,1.0,1.0,female,32.0,0.0,0.0,76.2917,D15,C
219,0.0,2.0,male,30.0,0.0,0.0,10.5,,S
220,1.0,3.0,male,16.0,0.0,0.0,8.05,,S
221,0.0,2.0,male,27.0,0.0,0.0,13.0,,S
222,0.0,3.0,male,51.0,0.0,0.0,8.05,,S
223,0.0,3.0,male,,0.0,0.0,7.8958,,S
224,1.0,1.0,male,38.0,1.0,0.0,90.0,C93,S
225,0.0,3.0,male,22.0,0.0,0.0,9.35,,S
226,1.0,2.0,male,19.0,0.0,0.0,10.5,,S
227,0.0,3.0,male,20.5,0.0,0.0,7.25,,S
228,0.0,2.0,male,18.0,0.0,0.0,13.0,,S
229,0.0,3.0,female,,3.0,1.0,25.4667,,S
230,1.0,1.0,female,35.0,1.0,0.0,83.475,C83,S
231,0.0,3.0,male,29.0,0.0,0.0,7.775,,S
232,0.0,2.0,male,59.0,0.0,0.0,13.5,,S
233,1.0,3.0,female,5.0,4.0,2.0,31.3875,,S
234,0.0,2.0,male,24.0,0.0,0.0,10.5,,S
235,0.0,3.0,female,,0.0,0.0,7.55,,S
236,0.0,2.0,male,44.0,1.0,0.0,26.0,,S
237,1.0,2.0,female,8.0,0.0,2.0,26.25,,S
238,0.0,2.0,male,19.0,0.0,0.0,10.5,,S
239,0.0,2.0,male,33.0,0.0,0.0,12.275,,S
240,0.0,3.0,female,,1.0,0.0,14.4542,,C
241,1.0,3.0,female,,1.0,0.0,15.5,,Q
242,0.0,2.0,male,29.0,0.0,0.0,10.5,,S
243,0.0,3.0,male,22.0,0.0,0.0,7.125,,S
244,0.0,3.0,male,30.0,0.0,0.0,7.225,,C
245,0.0,1.0,male,44.0,2.0,0.0,90.0,C78,Q
246,0.0,3.0,female,25.0,0.0,0.0,7.775,,S
247,1.0,2.0,female,24.0,0.0,2.0,14.5,,S
248,1.0,1.0,male,37.0,1.0,1.0,52.5542,D35,S
249,0.0,2.0,male,54.0,1.0,0.0,26.0,,S
250,0.0,3.0,male,,0.0,0.0,7.25,,S
251,0.0,3.0,female,29.0,1.0,1.0,10.4625,G6,S
252,0.0,1.0,male,62.0,0.0,0.0,26.55,C87,S
253,0.0,3.0,male,30.0,1.0,0.0,16.1,,S
254,0.0,3.0,female,41.0,0.0,2.0,20.2125,,S
255,1.0,3.0,female,29.0,0.0,2.0,15.2458,,C
256,1.0,1.0,female,,0.0,0.0,79.2,,C
257,1.0,1.0,female,30.0,0.0,0.0,86.5,B77,S
258,1.0,1.0,female,35.0,0.0,0.0,512.3292,,C
259,1.0,2.0,female,50.0,0.0,1.0,26.0,,S
260,0.0,3.0,male,,0.0,0.0,7.75,,Q
261,1.0,3.0,male,3.0,4.0,2.0,31.3875,,S
262,0.0,1.0,male,52.0,1.0,1.0,79.65,E67,S
263,0.0,1.0,male,40.0,0.0,0.0,0.0,B94,S
264,0.0,3.0,female,,0.0,0.0,7.75,,Q
265,0.0,2.0,male,36.0,0.0,0.0,10.5,,S
266,0.0,3.0,male,16.0,4.0,1.0,39.6875,,S
267,1.0,3.0,male,25.0,1.0,0.0,7.775,,S
268,1.0,1.0,female,58.0,0.0,1.0,153.4625,C125,S
269,1.0,1.0,female,35.0,0.0,0.0,135.6333,C99,S
270,0.0,1.0,male,,0.0,0.0,31.0,,S
271,1.0,3.0,male,25.0,0.0,0.0,0.0,,S
272,1.0,2.0,female,41.0,0.0,1.0,19.5,,S
273,0.0,1.0,male,37.0,0.0,1.0,29.7,C118,C
274,1.0,3.0,female,,0.0,0.0,7.75,,Q
275,1.0,1.0,female,63.0,1.0,0.0,77.9583,D7,S
276,0.0,3.0,female,45.0,0.0,0.0,7.75,,S
277,0.0,2.0,male,,0.0,0.0,0.0,,S
278,0.0,3.0,male,7.0,4.0,1.0,29.125,,Q
279,1.0,3.0,female,35.0,1.0,1.0,20.25,,S
280,0.0,3.0,male,65.0,0.0,0.0,7.75,,Q
281,0.0,3.0,male,28.0,0.0,0.0,7.8542,,S
282,0.0,3.0,male,16.0,0.0,0.0,9.5,,S
283,1.0,3.0,male,19.0,0.0,0.0,8.05,,S
284,0.0,1.0,male,,0.0,0.0,26.0,A19,S
285,0.0,3.0,male,33.0,0.0,0.0,8.6625,,C
286,1.0,3.0,male,30.0,0.0,0.0,9.5,,S
287,0.0,3.0,male,22.0,0.0,0.0,7.8958,,S
288,1.0,2.0,male,42.0,0.0,0.0,13.0,,S
289,1.0,3.0,female,22.0,0.0,0.0,7.75,,Q
290,1.0,1.0,female,26.0,0.0,0.0,78.85,,S
291,1.0,1.0,female,19.0,1.0,0.0,91.0792,B49,C
292,0.0,2.0,male,36.0,0.0,0.0,12.875,D,C
293,0.0,3.0,female,24.0,0.0,0.0,8.85,,S
294,0.0,3.0,male,24.0,0.0,0.0,7.8958,,S
295,0.0,1.0,male,,0.0,0.0,27.7208,,C
296,0.0,3.0,male,23.5,0.0,0.0,7.2292,,C
297,0.0,1.0,female,2.0,1.0,2.0,151.55,C22 C26,S
298,1.0,1.0,male,,0.0,0.0,30.5,C106,S
299,1.0,1.0,female,50.0,0.0,1.0,247.5208,B58 B60,C
300,1.0,3.0,female,,0.0,0.0,7.75,,Q
301,1.0,3.0,male,,2.0,0.0,23.25,,Q
302,0.0,3.0,male,19.0,0.0,0.0,0.0,,S
303,1.0,2.0,female,,0.0,0.0,12.35,E101,Q
304,0.0,3.0,male,,0.0,0.0,8.05,,S
305,1.0,1.0,male,0.92,1.0,2.0,151.55,C22 C26,S
306,1.0,1.0,female,,0.0,0.0,110.8833,,C
307,1.0,1.0,female,17.0,1.0,0.0,108.9,C65,C
308,0.0,2.0,male,30.0,1.0,0.0,24.0,,C
309,1.0,1.0,female,30.0,0.0,0.0,56.9292,E36,C
310,1.0,1.0,female,24.0,0.0,0.0,83.1583,C54,C
311,1.0,1.0,female,18.0,2.0,2.0,262.375,B57 B59 B63 B66,C
312,0.0,2.0,female,26.0,1.0,1.0,26.0,,S
313,0.0,3.0,male,28.0,0.0,0.0,7.8958,,S
314,0.0,2.0,male,43.0,1.0,1.0,26.25,,S
315,1.0,3.0,female,26.0,0.0,0.0,7.8542,,S
316,1.0,2.0,female,24.0,1.0,0.0,26.0,,S
317,0.0,2.0,male,54.0,0.0,0.0,14.0,,S
318,1.0,1.0,female,31.0,0.0,2.0,164.8667,C7,S
319,1.0,1.0,female,40.0,1.0,1.0,134.5,E34,C
320,0.0,3.0,male,22.0,0.0,0.0,7.25,,S
321,0.0,3.0,male,27.0,0.0,0.0,7.8958,,S
322,1.0,2.0,female,30.0,0.0,0.0,12.35,,Q
323,1.0,2.0,female,22.0,1.0,1.0,29.0,,S
324,0.0,3.0,male,,8.0,2.0,69.55,,S
325,1.0,1.0,female,36.0,0.0,0.0,135.6333,C32,C
326,0.0,3.0,male,61.0,0.0,0.0,6.2375,,S
327,1.0,2.0,female,36.0,0.0,0.0,13.0,D,S
328,1.0,3.0,female,31.0,1.0,1.0,20.525,,S
329,1.0,1.0,female,16.0,0.0,1.0,57.9792,B18,C
330,1.0,3.0,female,,2.0,0.0,23.25,,Q
331,0.0,1.0,male,45.5,0.0,0.0,28.5,C124,S
332,0.0,1.0,male,38.0,0.0,1.0,153.4625,C91,S
333,0.0,3.0,male,16.0,2.0,0.0,18.0,,S
334,1.0,1.0,female,,1.0,0.0,133.65,,S
335,0.0,3.0,male,,0.0,0.0,7.8958,,S
336,0.0,1.0,male,29.0,1.0,0.0,66.6,C2,S
337,1.0,1.0,female,41.0,0.0,0.0,134.5,E40,C
338,1.0,3.0,male,45.0,0.0,0.0,8.05,,S
339,0.0,1.0,male,45.0,0.0,0.0,35.5,T,S
340,1.0,2.0,male,2.0,1.0,1.0,26.0,F2,S
341,1.0,1.0,female,24.0,3.0,2.0,263.0,C23 C25 C27,S
342,0.0,2.0,male,28.0,0.0,0.0,13.0,,S
343,0.0,2.0,male,25.0,0.0,0.0,13.0,,S
344,0.0,2.0,male,36.0,0.0,0.0,13.0,,S
345,1.0,2.0,female,24.0,0.0,0.0,13.0,F33,S
346,1.0,2.0,female,40.0,0.0,0.0,13.0,,S
347,1.0,3.0,female,,1.0,0.0,16.1,,S
348,1.0,3.0,male,3.0,1.0,1.0,15.9,,S
349,0.0,3.0,male,42.0,0.0,0.0,8.6625,,S
350,0.0,3.0,male,23.0,0.0,0.0,9.225,,S
351,0.0,1.0,male,,0.0,0.0,35.0,C128,S
352,0.0,3.0,male,15.0,1.0,1.0,7.2292,,C
353,0.0,3.0,male,25.0,1.0,0.0,17.8,,S
354,0.0,3.0,male,,0.0,0.0,7.225,,C
355,0.0,3.0,male,28.0,0.0,0.0,9.5,,S
356,1.0,1.0,female,22.0,0.0,1.0,55.0,E33,S
357,0.0,2.0,female,38.0,0.0,0.0,13.0,,S
358,1.0,3.0,female,,0.0,0.0,7.8792,,Q
359,1.0,3.0,female,,0.0,0.0,7.8792,,Q
360,0.0,3.0,male,40.0,1.0,4.0,27.9,,S
361,0.0,2.0,male,29.0,1.0,0.0,27.7208,,C
362,0.0,3.0,female,45.0,0.0,1.0,14.4542,,C
363,0.0,3.0,male,35.0,0.0,0.0,7.05,,S
364,0.0,3.0,male,,1.0,0.0,15.5,,Q
365,0.0,3.0,male,30.0,0.0,0.0,7.25,,S
366,1.0,1.0,female,60.0,1.0,0.0,75.25,D37,C
367,1.0,3.0,female,,0.0,0.0,7.2292,,C
368,1.0,3.0,female,,0.0,0.0,7.75,,Q
369,1.0,1.0,female,24.0,0.0,0.0,69.3,B35,C
370,1.0,1.0,male,25.0,1.0,0.0,55.4417,E50,C
371,0.0,3.0,male,18.0,1.0,0.0,6.4958,,S
372,0.0,3.0,male,19.0,0.0,0.0,8.05,,S
373,0.0,1.0,male,22.0,0.0,0.0,135.6333,,C
374,0.0,3.0,female,3.0,3.0,1.0,21.075,,S
375,1.0,1.0,female,,1.0,0.0,82.1708,,C
376,1.0,3.0,female,22.0,0.0,0.0,7.25,,S
377,0.0,1.0,male,27.0,0.0,2.0,211.5,C82,C
378,0.0,3.0,male,20.0,0.0,0.0,4.0125,,C
379,0.0,3.0,male,19.0,0.0,0.0,7.775,,S
380,1.0,1.0,female,42.0,0.0,0.0,227.525,,C
381,1.0,3.0,female,1.0,0.0,2.0,15.7417,,C
382,0.0,3.0,male,32.0,0.0,0.0,7.925,,S
383,1.0,1.0,female,35.0,1.0,0.0,52.0,,S
384,0.0,3.0,male,,0.0,0.0,7.8958,,S
385,0.0,2.0,male,18.0,0.0,0.0,73.5,,S
386,0.0,3.0,male,1.0,5.0,2.0,46.9,,S
387,1.0,2.0,female,36.0,0.0,0.0,13.0,,S
388,0.0,3.0,male,,0.0,0.0,7.7292,,Q
389,1.0,2.0,female,17.0,0.0,0.0,12.0,,C
390,1.0,1.0,male,36.0,1.0,2.0,120.0,B96 B98,S
391,1.0,3.0,male,21.0,0.0,0.0,7.7958,,S
392,0.0,3.0,male,28.0,2.0,0.0,7.925,,S
393,1.0,1.0,female,23.0,1.0,0.0,113.275,D36,C
394,1.0,3.0,female,24.0,0.0,2.0,16.7,G6,S
395,0.0,3.0,male,22.0,0.0,0.0,7.7958,,S
396,0.0,3.0,female,31.0,0.0,0.0,7.8542,,S
397,0.0,2.0,male,46.0,0.0,0.0,26.0,,S
398,0.0,2.0,male,23.0,0.0,0.0,10.5,,S
399,1.0,2.0,female,28.0,0.0,0.0,12.65,,S
400,1.0,3.0,male,39.0,0.0,0.0,7.925,,S
401,0.0,3.0,male,26.0,0.0,0.0,8.05,,S
402,0.0,3.0,female,21.0,1.0,0.0,9.825,,S
403,0.0,3.0,male,28.0,1.0,0.0,15.85,,S
404,0.0,3.0,female,20.0,0.0,0.0,8.6625,,S
405,0.0,2.0,male,34.0,1.0,0.0,21.0,,S
406,0.0,3.0,male,51.0,0.0,0.0,7.75,,S
407,1.0,2.0,male,3.0,1.0,1.0,18.75,,S
408,0.0,3.0,male,21.0,0.0,0.0,7.775,,S
409,0.0,3.0,female,,3.0,1.0,25.4667,,S
410,0.0,3.0,male,,0.0,0.0,7.8958,,S
411,0.0,3.0,male,,0.0,0.0,6.8583,,Q
412,1.0,1.0,female,33.0,1.0,0.0,90.0,C78,Q
413,0.0,2.0,male,,0.0,0.0,0.0,,S
414,1.0,3.0,male,44.0,0.0,0.0,7.925,,S
415,0.0,3.0,female,,0.0,0.0,8.05,,S
416,1.0,2.0,female,34.0,1.0,1.0,32.5,,S
417,1.0,2.0,female,18.0,0.0,2.0,13.0,,S
418,0.0,2.0,male,30.0,0.0,0.0,13.0,,S
419,0.0,3.0,female,10.0,0.0,2.0,24.15,,S
420,0.0,3.0,male,,0.0,0.0,7.8958,,C
421,0.0,3.0,male,21.0,0.0,0.0,7.7333,,Q
422,0.0,3.0,male,29.0,0.0,0.0,7.875,,S
423,0.0,3.0,female,28.0,1.0,1.0,14.4,,S
424,0.0,3.0,male,18.0,1.0,1.0,20.2125,,S
425,0.0,3.0,male,,0.0,0.0,7.25,,S
426,1.0,2.0,female,28.0,1.0,0.0,26.0,,S
427,1.0,2.0,female,19.0,0.0,0.0,26.0,,S
428,0.0,3.0,male,,0.0,0.0,7.75,,Q
429,1.0,3.0,male,32.0,0.0,0.0,8.05,E10,S
430,1.0,1.0,male,28.0,0.0,0.0,26.55,C52,S
431,1.0,3.0,female,,1.0,0.0,16.1,,S
432,1.0,2.0,female,42.0,1.0,0.0,26.0,,S
433,0.0,3.0,male,17.0,0.0,0.0,7.125,,S
434,0.0,1.0,male,50.0,1.0,0.0,55.9,E44,S
435,1.0,1.0,female,14.0,1.0,2.0,120.0,B96 B98,S
436,0.0,3.0,female,21.0,2.0,2.0,34.375,,S
437,1.0,2.0,female,24.0,2.0,3.0,18.75,,S
438,0.0,1.0,male,64.0,1.0,4.0,263.0,C23 C25 C27,S
439,0.0,2.0,male,31.0,0.0,0.0,10.5,,S
440,1.0,2.0,female,45.0,1.0,1.0,26.25,,S
441,0.0,3.0,male,20.0,0.0,0.0,9.5,,S
442,0.0,3.0,male,25.0,1.0,0.0,7.775,,S
443,1.0,2.0,female,28.0,0.0,0.0,13.0,,S
